Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
Potato and cheese soup,8.54,2.74,3.36
Potato chowder,8.59,3.92,4.57
"Plantain soup, Puerto Rican style",7.15,2.33,0.47
"Plantain, cooked, no added fat",31.8,1.3,0.35
"Plantain, cooked with oil",30.87,1.26,3.24
"Ripe plantain, raw",31.89,1.3,0.35
"Plantain, cooked, fat added, NS as to fat type",30.88,1.27,2.88
"Plantain, cooked with butter or margarine",30.88,1.27,2.51
Plantain chips,63.84,2.28,29.59
"Green banana, cooked in salt water",31.8,1.3,0.35
"Green banana, fried",30.87,1.26,3.24
"Cassava, cooked",39.62,1.42,3.02
Yuca fries,34.72,1.24,13.94
"Casabe, cassava bread",71.22,2.54,0.52
"Yam, cooked, Puerto Rican",27.4,1.49,0.14
Yam buns; Puerto Rican style,29.77,3.47,19.0
"Tannier, cooked",27.55,1.57,2.94
"Celeriac, cooked",9.58,1.57,3.04
"Dasheen, cooked",27.55,1.57,2.94
"Taro, cooked",27.55,1.57,2.94
Fufu,33.59,1.5,2.98
Poi,28.45,1.61,0.22
Taro chips,68.1,2.3,24.9
"Beet greens, raw",4.33,2.2,0.13
"Beet greens, cooked",4.51,2.3,2.86
"Broccoli raab, raw",2.85,3.17,0.49
"Broccoli raab, cooked",2.88,3.2,3.14
"Chard, raw",3.74,1.8,0.2
"Chard, cooked",3.9,1.88,2.94
"Collards, raw",5.42,3.02,0.61
"Collards, fresh, cooked, no added fat",5.81,3.24,0.65
"Collards, frozen, cooked, no added fat",7.08,2.96,0.41
"Collards, canned, cooked, no added fat",2.79,1.35,0.3
"Collards, NS as to form, cooked",5.65,3.15,3.36
"Collards, fresh, cooked, fat added, NS as to fat type",5.65,3.15,3.36
"Collards, frozen, cooked, fat added, NS as to fat type",6.88,2.88,2.93
"Collards, canned, cooked, fat added, NS as to fat type",2.71,1.32,2.81
"Collards, fresh, cooked with oil",5.64,3.14,3.76
"Collards, fresh, cooked with butter or margarine",5.65,3.16,2.97
"Collards, frozen, cooked with oil",6.87,2.88,3.3
"Collards, frozen, cooked with butter or margarine",6.88,2.89,2.57
"Collards, canned, cooked with oil",2.71,1.31,3.18
"Collards, canned, cooked with butter or margarine",2.72,1.33,2.45
"Cress, raw",5.5,2.6,0.7
"Cress, cooked",5.73,2.72,3.46
"Dandelion greens, raw",9.2,2.7,0.7
"Dandelion greens, cooked",9.58,2.82,3.46
"Romaine lettuce, raw",2.87,1.36,0.15
"Caesar salad, with romaine, no dressing",6.78,4.23,3.57
"Escarole, cooked",2.98,1.12,2.71
"Greens, fresh, cooked, no added fat",5.16,2.97,0.97
"Greens, frozen, cooked, no added fat",5.75,2.92,0.71
"Greens, canned, cooked, no added fat",2.79,1.35,0.3
"Greens, NS as to form, cooked",5.02,2.89,3.4
"Greens, fresh, cooked, fat added",5.02,2.89,3.4
"Greens, frozen, cooked, fat added",5.59,2.84,3.23
"Greens, canned, cooked, fat added",2.71,1.32,2.81
"Kale, raw",4.42,2.92,1.49
"Kale, fresh, cooked, no added fat",4.74,3.13,1.6
"Kale, frozen, cooked, no added fat",5.28,2.93,1.21
"Kale, canned, cooked, no added fat",2.79,1.35,0.3
"Kale, NS as to form, cooked",4.61,3.05,4.28
"Kale, fresh, cooked, fat added",4.61,3.05,4.28
"Kale, frozen, cooked, fat added",5.14,2.85,3.71
"Kale, canned, cooked, fat added",2.71,1.32,2.81
"Lambsquarter, cooked",4.85,3.11,3.21
"Mustard cabbage, cooked",2.28,1.57,2.94
"Mustard greens, raw",4.67,2.86,0.42
"Mustard greens, fresh, cooked, no added fat",5.01,3.07,0.45
"Mustard greens, frozen, cooked, no added fat",3.1,2.26,0.25
"Mustard greens, canned, cooked, no added fat",2.79,1.35,0.3
"Mustard greens, NS as to form, cooked",4.87,2.99,3.16
"Mustard greens, fresh, cooked, fat added",4.87,2.99,3.16
"Mustard greens, frozen, cooked, fat added",3.02,2.21,2.78
"Mustard greens, canned, cooked, fat added",2.71,1.32,2.81
"Poke greens, cooked",3.01,2.24,2.92
"Radicchio, raw",4.48,1.43,0.25
"Spinach, raw",3.63,2.86,0.39
"Spinach, fresh, cooked, no added fat",4.26,3.36,0.46
"Spinach, frozen, cooked, no added fat",4.79,4.0,0.87
"Spinach, canned, cooked, no added fat",3.4,2.81,0.5
"Spinach, fresh, cooked with oil",4.13,3.26,3.86
"Spinach, fresh, cooked with butter or margarine",4.15,3.28,3.0
"Spinach, NS as to form, cooked",4.14,3.27,3.43
"Spinach, fresh, cooked, fat added, NS as to fat type",4.14,3.27,3.43
"Spinach, frozen, cooked, fat added, NS as to fat type",4.65,3.89,3.38
"Spinach, canned, cooked, fat added, NS as to fat type",3.31,2.74,3.03
"Spinach, frozen, cooked with oil",4.65,3.88,3.75
"Spinach, frozen, cooked with butter or margarine",4.66,3.9,3.01
"Spinach, canned, cooked with oil",3.3,2.73,3.4
"Spinach, canned, cooked with butter or margarine",3.31,2.74,2.66
"Spinach, creamed",6.65,2.48,6.03
Spinach souffle,7.1,5.7,8.49
Spinach and cheese casserole,9.91,7.02,7.44
Palak Paneer,4.31,5.22,6.99
Channa Saag,9.54,4.07,4.17
"Taro leaves, cooked",6.98,5.19,3.5
"Thistle leaves, cooked",5.73,2.72,3.46
"Turnip greens, fresh, cooked, no added fat",4.35,1.14,0.23
"Turnip greens, frozen, cooked, no added fat",4.96,3.34,0.42
"Turnip greens, canned, cooked, no added fat",2.79,1.35,0.3
"Turrnip greens, NS as to form, cooked",4.23,1.11,2.76
"Turnip greens, fresh, cooked, fat added",4.23,1.11,2.76
"Turnip greens, frozen, cooked, fat added",4.83,3.25,2.94
"Turnip greens, canned, cooked, fat added",2.71,1.32,2.81
"Turnip greens, canned, reduced sodium, cooked, no added fat",2.81,1.36,0.3
"Turnip greens, canned, reduced sodium, cooked, fat added",2.73,1.33,2.84
"Watercress, raw",1.29,2.3,0.1
"Watercress, cooked",1.35,2.4,2.83
"Bitter melon, horseradish, jute, or radish leaves, cooked",6.47,3.49,2.73
"Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked",7.15,2.12,2.87
"Broccoli, raw",6.64,2.82,0.37
"Broccoli, cooked, from restaurant",6.56,2.8,4.68
"Broccoli, fresh, cooked, no added fat",6.9,2.93,0.38
"Broccoli, frozen, cooked, no added fat",5.33,3.09,0.12
"Broccoli, NS as to form, cooked",6.7,2.85,3.02
"Broccoli, fresh, cooked, fat added, NS as to fat type",6.7,2.85,3.02
"Broccoli, frozen, cooked, fat added, NS as to fat type",5.18,3.01,2.65
"Broccoli, fresh, cooked with oil",6.7,2.84,3.4
"Broccoli, fresh, cooked with butter or margarine",6.71,2.86,2.63
"Broccoli, frozen, cooked with oil",5.18,3.0,3.02
"Broccoli, frozen, cooked with butter or margarine",5.19,3.02,2.28
Broccoli casserole with noodles,16.02,3.72,3.79
Broccoli casserole with rice,15.09,4.13,3.5
Fried broccoli,22.34,4.25,12.78
"Broccoli, chinese, raw",4.67,1.2,0.76
"Broccoli, Chinese, cooked",4.72,1.22,3.41
"Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve",6.28,2.72,3.65
"Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve",3.91,1.06,2.69
"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",6.28,2.72,3.65
Watercress broth with shrimp,1.38,6.25,1.86
Spinach soup,2.88,2.92,0.98
"Dark-green leafy vegetable soup with meat, Asian style",5.56,6.46,3.32
"Dark-green leafy vegetable soup, meatless, Asian style",6.56,1.57,1.98
"Carrots, raw",9.58,0.93,0.24
"Carrots, raw, salad",17.19,1.25,15.67
"Carrots, raw, salad with apples",8.16,0.84,15.95
"Carrots, cooked, from restaurant",9.47,0.93,4.55
"Carrots, fresh, cooked, no added fat",9.95,0.97,0.25
"Carrots, frozen, cooked, no added fat",7.71,0.58,0.68
"Carrots, canned, cooked, no added fat",5.54,0.64,0.19
"Carrots, fresh, cooked with oil",9.66,0.94,3.27
"Carrots, fresh, cooked with butter or margarine",9.67,0.96,2.5
"Carrots, NS as to form, cooked",9.67,0.95,2.88
"Carrots, fresh, cooked, fat added, NS as to fat type",9.67,0.95,2.88
"Carrots, frozen, cooked, fat added, NS as to fat type",7.49,0.57,3.2
"Carrots, canned, cooked, fat added, NS as to fat type",5.38,0.63,2.73
"Carrots, frozen, cooked with oil",7.48,0.56,3.56
"Carrots, frozen, cooked with butter or margarine",7.49,0.58,2.83
"Carrots, canned, cooked with oil",5.38,0.62,3.1
"Carrots, canned, cooked with butter or margarine",5.39,0.64,2.36
"Carrots, glazed, cooked",16.68,0.9,2.65
"Carrots, canned, reduced sodium, cooked, no added fat",5.36,0.59,0.14
"Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",5.21,0.58,2.68
"Carrots, canned, reduced sodium, cooked with oil",5.2,0.57,3.05
"Carrots, canned, reduced sodium, cooked with butter or margarine",5.21,0.59,2.31
Beet juice,5.91,0.72,0.06
"Carrot juice, 100%",9.28,0.95,0.15
"Peas and carrots, fresh, cooked, no added fat",12.48,3.3,0.33
"Peas and carrots, frozen, cooked, no added fat",10.96,2.86,0.47
"Peas and carrots, canned, cooked, no added fat",8.45,2.56,0.5
"Peas and carrots, cooked, NS as to form",12.12,3.21,2.96
"Peas and carrots, fresh, cooked, fat added",12.12,3.21,2.96
"Peas and carrots, frozen, cooked, fat added",10.65,2.78,3.0
"Peas and carrots, canned, cooked, fat added",8.21,2.49,3.02
"Pumpkin, canned, cooked",7.86,1.08,2.82
"Pumpkin, cooked",6.77,1.05,2.83
"Calabaza, cooked",6.77,1.05,2.83
"Sweet potato and pumpkin casserole, Puerto Rican style",39.82,2.99,7.04
"Winter squash, raw",6.5,1.0,0.1
"Winter squash, cooked, no added fat",8.82,0.89,0.35
"Winter squash, cooked, fat added",8.57,0.87,2.88
Squash fritter or cake,35.66,6.96,21.28
"Squash, winter, souffle",12.07,3.41,2.15
"Sweet potato, NFS",16.82,1.31,4.28
"Sweet potato, baked, peel eaten, NS as to fat",20.85,2.03,4.1
"Sweet potato, baked, peel eaten, no added fat",21.83,2.11,0.15
"Sweet potato, baked, peel eaten, fat added, NS as to fat type",20.85,2.03,4.1
"Sweet potato, baked, peel eaten, made with oil",20.84,2.02,4.67
"Sweet potato, baked, peel eaten, made with butter",20.85,2.05,3.81
"Sweet potato, baked, peel eaten, made with margarine",20.88,2.02,3.09
"Sweet potato, baked, peel not eaten, NS as to fat",19.66,1.92,4.29
"Sweet potato, baked, peel not eaten, no added fat",20.63,2.0,0.15
"Sweet potato, baked, peel not eaten, fat added, NS as to fat type",19.66,1.92,4.29
"Sweet potato, baked, peel not eaten, made with oil",19.65,1.91,4.89
"Sweet potato, baked, peel not eaten, made with butter",19.65,1.95,3.99
"Sweet potato, baked, peel not eaten, made with margarine",19.69,1.92,3.23
"Sweet potato, boiled, NS as to fat",16.82,1.31,4.28
"Sweet potato, boiled, no added fat",17.65,1.36,0.14
"Sweet potato, boiled, fat added, NS as to fat type",16.82,1.31,4.28
"Sweet potato, boiled, made with oil",16.81,1.3,4.88
"Sweet potato, boiled, made with butter",16.82,1.34,3.98
"Sweet potato, boiled, made with margarine",16.85,1.31,3.22
"Sweet potato, candied",37.46,0.99,3.29
"Sweet potato, canned, NS as to fat",20.05,1.58,4.33
"Sweet potato, canned, no added fat",21.04,1.64,0.2
"Sweet potato, canned, fat added",20.05,1.58,4.33
"Sweet potato, casserole or mashed",16.96,1.68,2.36
"Sweet potato fries, NFS",34.05,2.07,18.1
Sweet potato chips,56.54,2.92,32.19
"Sweet potato fries, NS as to fresh or frozen",34.05,2.07,18.1
"Sweet potato fries, frozen, fried",34.05,2.07,18.1
"Sweet potato fries, frozen, baked",37.45,2.27,9.39
"Sweet potato fries, from fresh, fried",17.95,1.74,13.13
"Sweet potato fries, from fresh, baked",18.76,1.82,9.19
"Sweet potato fries, fast food / restaurant",31.63,1.92,23.93
"Sweet potato fries, school",37.45,2.27,9.39
"Sweet potato tots, NFS",34.87,2.12,15.6
"Sweet potato tots, from frozen, fried",34.87,2.12,15.6
"Sweet potato tots, from frozen, baked",37.3,2.26,9.35
"Sweet potato tots, from frozen, NS as to fried or baked",34.87,2.12,15.6
"Sweet potato tots, fast food / restaurant",34.87,2.12,15.6
"Sweet potato tots, school",37.45,2.27,9.39
"Sweet potato, yellow, Puerto Rican, cooked",17.61,1.36,0.14
"Carrot soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",5.01,1.6,0.76
"Carrot with rice soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",10.12,1.98,0.75
"Squash, winter type, soup, home recipe, canned, or ready-to-serve",4.37,0.5,2.44
"Tomatoes, raw",3.89,0.88,0.2
"Tomatoes, NS as to form, cooked",4.71,1.08,3.41
"Tomatoes, fresh, cooked",4.71,1.08,3.41
"Tomatoes, canned, cooked",3.37,0.78,2.79
"Tomatoes, scalloped",14.1,2.7,4.92
"Tomatoes, canned, reduced sodium, cooked",3.37,0.78,2.79
Fried green tomatoes,21.56,3.56,12.72
"Tomato, green, pickled",9.09,1.0,0.18
Sun-dried tomatoes,55.76,14.11,2.97
"Tomato juice, 100%",3.53,0.85,0.29
"Tomato juice, 100%, low sodium",4.59,0.6,0.1
Tomato juice cocktail,3.87,0.93,0.31
"Tomato and vegetable juice, 100%",3.87,0.93,0.31
"Tomato and vegetable juice, 100%, low sodium",4.59,0.6,0.1
Ketchup,27.4,1.04,0.1
"Ketchup, reduced sodium",27.4,1.04,0.1
Tomato chili sauce,19.79,2.5,0.3
"Salsa, NFS",6.74,1.44,0.19
"Salsa, pico de gallo",3.7,0.71,0.14
"Salsa, red, commercially-prepared",6.74,1.44,0.19
"Salsa, red, homemade",6.74,1.44,0.19
Taco sauce,0.72,1.16,0.68
"Enchilada sauce, red",4.87,0.62,0.91
"Enchilada sauce, green",6.36,1.13,0.89
"Salsa verde or salsa, green",6.36,1.13,0.89
Hot Thai sauce,16.58,1.03,0.66
Spaghetti sauce,8.05,1.41,1.48
Spaghetti sauce with added vegetables,7.43,1.42,1.22
"Spaghetti sauce, reduced sodium",8.06,1.41,1.48
"Spaghetti sauce, fat free",5.31,1.2,0.3
Vodka sauce with tomatoes and cream,3.44,1.26,6.64
Barbecue sauce,40.77,0.82,0.63
Buffalo sauce,0.75,1.21,0.71
Steak sauce,22.04,1.25,0.23
Cocktail sauce,28.22,1.36,1.05
Puerto Rican seasoning with ham,7.32,4.0,24.81
Puerto Rican seasoning with ham and tomato sauce,5.3,5.14,14.98
Puerto Rican seasoning without ham and tomato sauce,6.96,1.06,10.81
Tomato aspic,4.7,2.57,0.26
"Tomato and cucumber salad made with tomato, cucumber, oil, and vinegar",6.53,0.53,10.16
"Tomato soup, NFS",7.72,0.74,0.22
"Tomato soup, cream of, prepared with milk",10.05,2.4,1.22
"Tomato soup, prepared with water, or ready-to-serve",7.72,0.74,0.22
"Tomato soup, instant type, prepared with water",7.17,0.93,0.61
"Tomato soup, canned, reduced sodium, prepared with water, or ready-to-serve",6.8,0.82,0.28
"Tomato soup, canned, reduced sodium, prepared with milk",9.14,2.47,1.28
"Tomato beef soup, prepared with water",8.44,1.78,1.71
"Tomato beef noodle soup, prepared with water",8.44,1.78,1.71
"Tomato beef rice soup, prepared with water",8.44,1.78,1.71
"Tomato noodle soup, canned, prepared with water or ready-to-serve",11.82,1.66,0.67
"Tomato noodle soup, canned, prepared with milk",12.16,2.7,1.34
"Tomato rice soup, prepared with water",8.54,0.82,1.06
"Tomato vegetable soup, prepared with water",7.72,0.74,0.22
"Tomato vegetable soup with noodles, prepared with water",4.89,0.86,0.79
Tomato sandwich,23.61,4.66,7.09
"Raw vegetable, NFS",5.77,1.33,0.24
"Sprouts, NFS",5.94,3.04,0.18
"Alfalfa sprouts, raw",2.1,3.99,0.69
"Artichoke, raw",11.95,2.89,0.34
"Asparagus, raw",3.88,2.2,0.12
"Bean sprouts, raw",5.94,3.04,0.18
"Green beans, raw",6.97,1.83,0.22
"Beets, raw",9.56,1.61,0.17
"Broccoflower, raw",6.09,2.95,0.3
"Brussels sprouts, raw",8.95,3.38,0.3
"Cabbage, green, raw",5.8,1.28,0.1
"Cabbage, Chinese, raw",2.18,1.5,0.2
"Cabbage, red, raw",7.37,1.43,0.16
"Cactus, raw",3.33,1.32,0.09
"Cauliflower, raw",4.97,1.92,0.28
"Celery, raw",2.97,0.69,0.17
"Fennel bulb, raw",7.3,1.24,0.2
"Basil, raw",2.65,3.15,0.64
"Chives, raw",4.35,3.27,0.73
"Cilantro, raw",3.67,2.13,0.52
"Corn, raw",18.7,3.27,1.35
"Cucumber, raw",3.63,0.65,0.11
"Eggplant, raw",5.88,0.98,0.18
"Garlic, raw",33.06,6.36,0.5
"Jicama, raw",8.82,0.72,0.09
"Kohlrabi, raw",6.2,1.7,0.1
"Leek, raw",14.15,1.5,0.3
"Lettuce, raw",2.92,1.13,0.14
"Lettuce, Boston, raw",2.26,1.33,0.22
"Lettuce, arugula, raw",3.65,2.58,0.66
"Mixed salad greens, raw",2.93,1.61,0.22
"Mushrooms, raw",3.26,3.09,0.34
"Onions, green, raw",7.34,1.83,0.19
"Onions, raw",9.34,1.1,0.1
"Parsley, raw",6.33,2.97,0.79
"Green peas, raw",14.45,5.42,0.4
"Pepper, hot chili, raw",7.66,1.39,0.4
"Pepper, poblano, raw",4.64,0.86,0.17
"Pepper, Serrano, raw",6.7,1.74,0.44
"Pepper, raw, NFS",5.13,0.91,0.22
"Pepper, sweet, green, raw",4.64,0.86,0.17
"Pepper, sweet, red, raw",6.03,0.99,0.3
"Pepper, banana, raw",5.35,1.66,0.45
"Radish, raw",3.4,0.68,0.1
"Rutabaga, raw",8.62,1.08,0.16
"Seaweed, raw",7.94,3.51,0.49
"Snowpeas, raw",7.55,2.8,0.2
"Summer squash, yellow, raw",3.88,1.01,0.27
"Summer squash, green, raw",3.11,1.21,0.32
"Turnip, raw",6.43,0.9,0.1
Mixed vegetable juice,6.12,0.82,0.16
Celery juice,2.97,0.69,0.17
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing",10.45,5.88,22.82
Broccoli slaw salad,10.59,2.13,8.12
"Cabbage salad or coleslaw, from fast food / restaurant",12.35,0.88,11.78
"Cabbage salad or coleslaw, made with coleslaw dressing",10.02,1.14,7.89
"Cabbage salad or coleslaw, made with light coleslaw dressing",14.43,0.94,4.87
"Cabbage salad or coleslaw, made with Italian dressing",7.63,1.05,4.64
"Cabbage salad or coleslaw, made with light Italian dressing",7.19,1.04,1.55
"Cabbage salad or coleslaw, made with creamy dressing",6.29,1.25,9.84
"Cabbage salad or coleslaw, made with light creamy dressing",9.61,1.27,0.72
"Cabbage salad or coleslaw, made with any type of fat free dressing",8.5,0.99,0.71
"Cabbage salad or coleslaw with apples and/or raisins, with dressing",13.31,1.07,6.26
"Cabbage salad or coleslaw with pineapple, with dressing",10.45,1.06,6.81
Cucumber and vegetable namasu,12.53,0.48,0.12
"Cucumber salad, made with sour cream dressing",3.92,1.15,5.51
"Cucumber salad, made with Italian dressing",6.55,0.48,9.93
Cucumber salad made with cucumber and vinegar,7.2,0.52,0.09
"Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",4.27,1.25,0.2
"Lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing",3.76,1.42,0.2
"Lettuce, salad with avocado, tomato, and/or carrots, with or without other vegetables, no dressing",5.23,1.44,3.39
"Lettuce, salad with cheese, tomato and/or carrots, with or without other vegetables, no dressing",3.95,5.09,6.08
"Lettuce, salad with egg, tomato, and/or carrots, with or without other vegetables, no dressing",3.64,3.54,2.3
"Lettuce, salad with egg, cheese, tomato, and/or carrots, with or without other vegetables, no dressing",3.49,4.36,4.35
"Lettuce, wilted, with bacon dressing",2.48,2.99,6.3
"Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",5.66,4.76,20.73
"Greek Salad, no dressing",3.84,2.62,2.14
"Spinach salad, no dressing",2.97,7.02,4.91
"Cobb salad, no dressing",2.48,11.36,4.34
Aloe vera juice drink,3.75,0.0,0.0
"Artichoke, fresh, cooked, no added fat",11.91,2.88,0.34
"Artichoke, frozen, cooked, no added fat",11.91,2.88,0.34
"Artichoke, canned, cooked, no added fat",11.91,2.88,0.34
"Artichokes, NS as to form, cooked",11.57,2.81,2.87
"Artichoke, fresh, cooked, fat added",11.57,2.81,2.87
"Artichoke, frozen, cooked, fat added",11.57,2.81,2.87
"Artichoke, canned, cooked, fat added",11.57,2.81,2.87
"Asparagus, fresh, cooked, no added fat",4.16,2.36,0.13
"Asparagus, frozen, cooked, no added fat",1.91,2.94,0.42
"Asparagus, canned, cooked, no added fat",2.46,2.14,0.65
"Asparagus, NS as to form, cooked",4.04,2.3,2.85
"Asparagus, fresh, cooked, fat added, NS as to fat type",4.04,2.3,2.85
"Asparagus, frozen, cooked, fat added, NS as to fat type",1.86,2.86,2.94
"Asparagus, canned, cooked, fat added, NS as to fat type",2.39,2.09,3.18
"Asparagus, fresh, cooked with oil",4.04,2.29,3.25
"Asparagus, fresh, cooked with butter or margarine",4.05,2.31,2.46
"Asparagus, frozen, cooked with oil",1.86,2.86,3.31
"Asparagus, frozen, cooked with butter or margarine",1.87,2.87,2.58
"Asparagus, canned, cooked with oil",2.39,2.08,3.54
"Asparagus, canned, cooked with butter or margarine",2.4,2.09,2.81
"Bamboo shoots, cooked",3.13,1.68,2.93
"Lima beans, from frozen, no added fat",19.26,6.05,0.34
"Lima beans, from frozen, fat added",18.71,5.88,2.87
"Lima beans, from canned",18.62,5.86,2.85
"Green beans, cooked, from restaurant",6.89,1.82,4.53
"Green beans, fresh, cooked, no added fat",7.24,1.9,0.23
"Green beans, frozen, cooked, no added fat",6.43,1.49,0.17
"Green beans, canned, cooked, no added fat",4.11,1.04,0.39
"Green beans, NS as to form, cooked",5.52,1.44,2.89
"Green beans, fresh, cooked, fat added, NS as to fat type",7.03,1.85,2.86
"Green beans, frozen, cooked, fat added, NS as to fat type",6.25,1.45,2.7
"Green beans, canned, cooked, fat added, NS as to fat type",4.0,1.02,2.92
"Green beans, fresh, cooked with oil",7.03,1.84,3.25
"Green beans, fresh, cooked with butter or margarine",7.04,1.86,2.48
"Green beans, frozen, cooked with oil",6.24,1.44,3.07
"Green beans, frozen, cooked with butter or margarine",6.26,1.46,2.33
"Green beans, canned, cooked with oil",3.99,1.01,3.29
"Green beans, canned, cooked with butter or margarine",4.0,1.03,2.55
"Green beans, canned, reduced sodium, cooked, no added fat",4.32,1.12,0.46
"Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type",4.2,1.1,2.99
"Green beans, canned, reduced sodium, cooked with oil",4.19,1.09,3.36
"Green beans, canned, reduced sodium, cooked with butter or margarine",4.2,1.1,2.62
Fried green beans,22.47,3.86,12.72
"Yellow string beans, cooked",6.25,1.45,2.7
"Bean sprouts, cooked",6.08,9.8,6.92
"Beets, fresh, cooked, no added fat",9.93,1.67,0.18
"Beets, canned, cooked, no added fat",7.21,0.91,0.14
"Beets, NS as to form, cooked",7.0,0.89,2.68
"Beets, fresh, cooked, fat added",9.65,1.63,2.81
"Beets, canned, cooked, fat added",7.0,0.89,2.68
"Beets, canned, reduced sodium, cooked",6.79,0.84,2.78
"Bitter melon, cooked",4.19,0.82,2.71
"Breadfruit, cooked",26.26,1.04,2.76
"Broccoflower, cooked",6.15,2.98,2.94
"Brussels sprouts, fresh, cooked, no added fat",9.3,3.51,0.31
"Brussels sprouts, frozen, cooked, no added fat",8.3,3.63,0.39
"Brussels sprouts, NS as to form, cooked",9.03,3.42,2.94
"Brussels sprouts, fresh, cooked, fat added",9.03,3.42,2.94
"Brussels sprouts, frozen, cooked, fat added",8.06,3.53,2.91
"Burdock, cooked",18.06,1.6,2.88
"Cabbage, Chinese, cooked, no added fat",2.26,1.56,0.21
"Cabbage, Chinese, cooked, fat added",2.2,1.52,2.84
"Cabbage, green, cooked, no added fat",6.02,1.33,0.1
"Cabbage, green, cooked, fat added, NS as to fat type",5.85,1.3,2.74
"Cabbage, green, cooked with oil",5.85,1.29,3.13
"Cabbage, green, cooked with butter or margarine",5.86,1.31,2.36
"Cabbage, red, cooked",7.44,1.45,2.8
"Cabbage, savoy, cooked",6.16,2.02,2.74
"Cactus, cooked, no added fat",3.32,1.32,0.09
"Cactus, cooked, fat added",3.23,1.29,2.62
"Cauliflower, fresh, cooked, no added fat",5.16,1.99,0.29
"Cauliflower, frozen, cooked, no added fat",3.74,1.6,0.22
"Cauliflower, NS as to form, cooked",5.02,1.94,2.92
"Cauliflower, fresh, cooked, fat added, NS as to fat type",5.02,1.94,2.92
"Cauliflower, frozen, cooked, fat added, NS as to fat type",3.64,1.57,2.75
"Cauliflower, fresh, cooked with oil",5.01,1.94,3.31
"Cauliflower, fresh, cooked with butter or margarine",5.02,1.95,2.54
"Cauliflower, frozen, cooked with oil",3.63,1.56,3.12
"Cauliflower, frozen, cooked with butter or margarine",3.64,1.58,2.38
"Celery, cooked",3.1,0.73,2.9
"Fennel bulb, cooked",8.32,1.42,3.21
"Christophine, cooked",4.7,0.86,2.86
"Corn, cooked, from restaurant",17.73,3.11,5.42
"Corn, fresh, cooked, no added fat",18.64,3.26,1.35
"Corn, frozen, cooked, no added fat",19.24,2.54,0.67
"Corn, canned, cooked, no added fat",14.34,2.29,1.22
"Corn, NS as to form, cooked",13.93,2.23,3.73
"Corn, fresh, cooked, fat added, NS as to fat type",18.11,3.17,3.84
"Corn, frozen, cooked, fat added, NS as to fat type",18.69,2.48,3.18
"Corn, canned, cooked, fat added, NS as to fat type",13.93,2.23,3.73
"Corn, fresh, cooked with oil",18.1,3.17,4.21
"Corn, fresh, cooked with butter or margarine",18.11,3.18,3.48
"Corn, frozen, cooked with oil",18.68,2.47,3.55
"Corn, frozen, cooked with butter or margarine",18.69,2.48,2.82
"Corn, canned, cooked with oil",13.92,2.22,4.1
"Corn, canned, cooked with butter or margarine",13.93,2.24,3.36
"Corn, creamed",18.13,1.74,0.42
"Corn, canned, reduced sodium, cooked, no added fat",14.9,2.1,0.83
"Corn, canned, reduced sodium, cooked, fat added, NS as to fat type",14.48,2.04,3.54
"Corn, canned, reduced sodium, cooked with oil",14.47,2.04,3.94
"Corn, canned, reduced sodium, cooked with butter or margarine",14.48,2.05,3.14
"Cucumber, cooked",4.14,0.75,3.11
"Eggplant, cooked, no added fat",6.3,1.05,0.19
"Eggplant, cooked, fat added",6.13,1.03,2.92
"Flowers or blossoms of sesbania, squash, or lily, cooked",3.2,1.06,2.61
"Garlic, cooked",32.86,6.32,0.5
"Hominy, cooked",13.8,1.45,2.89
"Kohlrabi, cooked",6.26,1.72,2.74
"Leek, cooked",14.74,1.57,3.04
"Lotus root, cooked",15.51,1.54,2.6
"Mushrooms, fresh, cooked, no added fat",4.06,3.85,0.42
"Mushrooms, NS as to form, cooked",3.95,3.75,3.58
"Mushrooms, fresh, cooked, fat added, NS as to fat type",3.95,3.75,3.58
"Mushrooms, canned, cooked",4.95,1.82,2.82
"Mushrooms, fresh, cooked with oil",3.94,3.74,4.04
"Mushrooms, fresh, cooked with butter or margarine",3.96,3.76,3.12
"Mushroom, Asian, cooked, from dried",14.35,1.56,0.22
"Okra, fresh, cooked, no added fat",7.99,2.07,0.2
"Okra, frozen, cooked, no added fat",6.39,1.62,0.24
"Okra, NS as to form, cooked",7.76,2.02,2.92
"Okra, fresh, cooked, fat added",7.76,2.02,2.92
"Okra, frozen, cooked, fat added",6.21,1.59,2.77
"Lettuce, cooked",3.33,1.3,3.15
"Luffa, cooked",7.76,2.02,2.92
"Onions, cooked, no added fat",10.96,1.29,0.12
"Onions, cooked, fat added",10.64,1.26,3.1
